path,sha256
results/pbmc3k-1289747/metadata.json,42eff830e00c4a6a48422431b7395abc7ed1135e38c6890c8d0d58510c49bf3d
results/pbmc3k-1289747/exit_code.txt,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
results/pbmc3k-1289747/time.txt,c124a6671dfc2d1f2b8740dac2a8e69559f2b2cc74677ec3a417176fcaa17018
results/pbmc3k-1289747/console.txt,9226a26565fea435110bbe8362c33d3a1fbcb05dd787dd8aa591df37494ed7a4
results/pbmc3k-1289747/sections.csv,c2676ca2259fb7c9d3c58f4fa1ffa932a077107f4f820e16a39ffa362c15ff8e
results/pbmc3k-1289747/rank_genes_groups.prof,9afd3914a9cc3c698cddb848d386b7f6924ca00c30bbc3c7fae2b4f6019d1feb
results/pbmc3k-1289747/environment.txt,aeb168dff874a38368b81361cfd5ab02d9bd64d62bb765a6e6364db9193fb8ac
results/pbmc3k-1289747/scanpy_pbmc.py,0028d4818a0134fd97ee0667dc11148767649b1635ad6c9e9659f4f48ce6fcc4
results/pbmc3k-1289747/profile_sections.py,92d24bb291554711fe521be0adf2325bd57137e89e5b3cd7dc0f733575371568
results/pbmc3k-1289747/scanpy_pbmc.sbatch,7b794c99973a5e7eabfdd96802e883ba3df99ff5ffc171283ccbf99500bdd178
results/pbmc6k-1289760/metadata.json,936dfae2df96f88258444c8ce417c43c97d350301370611bcbee2b7b5f3c49b1
results/pbmc6k-1289760/exit_code.txt,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
results/pbmc6k-1289760/time.txt,902cd96efbf190d42a6989d815a2c92438348a48a583efabd9fe96a3cf58c34e
results/pbmc6k-1289760/console.txt,5c2bc507ddab233c91304a14e38d222f73d1dd16714334cec13e682a3108f9ac
results/pbmc6k-1289760/sections.csv,ba02a8c56e9c0f6059ecd1e16ed2612c16476a3645421c716b14f2de39b96293
results/pbmc6k-1289760/rank_genes_groups.prof,1ee83a89719dbfa91c7bdb16783f439bded0e77241600aac4f446eb6a7e9374f
results/pbmc6k-1289760/environment.txt,972541d48a37024b37bcc423cf03bcfaa6a7c778975a5c7650a7ba1802178b77
results/pbmc6k-1289760/scanpy_pbmc.py,0028d4818a0134fd97ee0667dc11148767649b1635ad6c9e9659f4f48ce6fcc4
results/pbmc6k-1289760/profile_sections.py,92d24bb291554711fe521be0adf2325bd57137e89e5b3cd7dc0f733575371568
results/pbmc6k-1289760/scanpy_pbmc.sbatch,d2197b1233ce9ba7b98ced9b0d46810857f245b7937cb53ef0cbf96fe4166d45
results/pbmc10k-1289774/metadata.json,3f46e7aa45581dafebbb1290963f93b66dcb93e4073001b639946ef40061d541
results/pbmc10k-1289774/exit_code.txt,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa
results/pbmc10k-1289774/time.txt,b1dbcf6e6df6229d2f5a57c2d851c7832c235fc9948375eace6e806e48d3f97a
results/pbmc10k-1289774/console.txt,d3c6d030e0143e23b6af9d2bc95a33a495e9a125b76ecc1339436ee3fcc70e2b
results/pbmc10k-1289774/sections.csv,05a463f335e33907952cbc8edbf3203756c91e213ef60b2272b2bc912d054556
results/pbmc10k-1289774/rank_genes_groups.prof,500c69505b1b151d603da7ab99c3c3a465043d79a0f0ffc3768bf4555a62a11e
results/pbmc10k-1289774/environment.txt,0aa8fc0700a17b8379c77241bdb70cef5def653eb3f93eff1f248293c4ebdc70
results/pbmc10k-1289774/scanpy_pbmc.py,0028d4818a0134fd97ee0667dc11148767649b1635ad6c9e9659f4f48ce6fcc4
results/pbmc10k-1289774/profile_sections.py,92d24bb291554711fe521be0adf2325bd57137e89e5b3cd7dc0f733575371568
results/pbmc10k-1289774/scanpy_pbmc.sbatch,d2197b1233ce9ba7b98ced9b0d46810857f245b7937cb53ef0cbf96fe4166d45
